"LIDNUM","ORDER","FAMILY","GENUS","SPECIES","SUBORDERORSUPERFAMILY","SUBFAMILY","MAX_AGE","MIN_AGE","LAT","LONG","COUNTRY","STATE","COUNTY","LOC_SYNONYMS","BODYMASS","DIET_1","DIET_2","DIET_3","LOCOMO1","LOCOMO2","LOCOMO3"
20133,"Artiodactyla","Suidae","Kenyasus","indet.","\N","Cainochoerinae",17.2,16.4,26.451,48.59,"Saudi Arabia","\N","Dhahran","\N","\N","o","omnivore","plant_dom","te","surficial","gen_quad"
20133,"Artiodactyla","Giraffidae","Canthumeryx","indet.","\N","\N",17.2,16.4,26.451,48.59,"Saudi Arabia","\N","Dhahran","\N","\N","p","herbivore","\N","te","surficial","\N"
20133,"Artiodactyla","Tragulidae","Dorcatherium","indet.","\N","\N",17.2,16.4,26.451,48.59,"Saudi Arabia","\N","Dhahran","\N","\N","p","herbivore","browse","te","surficial","\N"
20133,"Primates","Cercopithecoidea","Afropithecus","turkanensis","\N","\N",17.2,16.4,26.451,48.59,"Saudi Arabia","\N","Dhahran","\N","\N","\N","\N","\N","te","\N","\N"
20797,"Perissodactyla","Equidae","Equus","stenonis","\N","\N",2.5,1.9,43.05,80.2,"Kazakhstan","Alma Ata region","Tekess depression","\N","429622","p","herbivore","graze","te","surficial","cursorial"
20797,"Artiodactyla","Bovidae","Gazella","sinensis","\N","\N",2.5,1.9,43.05,80.2,"Kazakhstan","Alma Ata region","Tekess depression","\N","23000","p","herbivore","\N","te","surficial","cursorial"
20797,"Perissodactyla","Rhinocerotidae","Sinotherium","indet.","\N","\N",2.5,1.9,43.05,80.2,"Kazakhstan","Alma Ata region","Tekess depression","\N","\N","p","herbivore","graze","te","surficial","\N"
20797,"Artiodactyla","Camelidae","Gigantocamelus","longipes","\N","\N",2.5,1.9,43.05,80.2,"Kazakhstan","Alma Ata region","Tekess depression","\N","\N","p","herbivore","\N","te","surficial","\N"
20797,"Proboscidea","Gomphotheriidae","Anancus","kazachstanensis","\N","\N",2.5,1.9,43.05,80.2,"Kazakhstan","Alma Ata region","Tekess depression","\N","\N","p","herbivore","\N","te","surficial","graviportal"
20079,"Carnivora","Felidae","Styriofelis","lorteti","\N","\N",17.2,16.4,48.05,1.85,"France","\N","\N","Aerotrain","15000","a","carnivore","meat_only","te","scansorial","gen_quad"
20079,"Carnivora","Viverridae","Leptoplesictis","aurelianensis","\N","\N",17.2,16.4,48.05,1.85,"France","\N","\N","Aerotrain","406","a","invert","\N","te","\N","\N"
20079,"Carnivora","Felidae","Styriofelis","turnauensis","\N","\N",17.2,16.4,48.05,1.85,"France","\N","\N","Aerotrain","10000","a","carnivore","meat_only","te","scansorial","gen_quad"
20079,"Perissodactyla","Rhinocerotidae","Brachypotherium","brachypus","\N","\N",17.2,16.4,48.05,1.85,"France","\N","\N","Aerotrain","1611786","p","herbivore","br/gr","te","surficial","graviportal"
20079,"Carnivora","Mustelidae","Trochictis","carbonaria","\N","\N",17.2,16.4,48.05,1.85,"France","\N","\N","Aerotrain","17672","\N","\N","\N","\N","\N","\N"
20079,"Carnivora","Viverridae","Semigenetta","repelini","\N","\N",17.2,16.4,48.05,1.85,"France","\N","\N","Aerotrain","5000","a","invert","\N","te","\N","\N"
20079,"Perissodactyla","Rhinocerotidae","Prosantorhinus","douvillei","\N","\N",17.2,16.4,48.05,1.85,"France","\N","\N","Aerotrain","\N","p","herbivore","browse","te","surficial","graviportal"
22622,"Carnivora","indet.","indet.","indet.","\N","\N",7.1,5.3,31.033,-6.567,"Morocco","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N"
22622,"Artiodactyla","indet.","indet.","indet.","\N","\N",7.1,5.3,31.033,-6.567,"Morocco","\N","\N","\N","\N","p","herbivore","\N","te","surficial","cursorial"
22622,"Perissodactyla","Equidae","Hipparion","indet.","\N","\N",7.1,5.3,31.033,-6.567,"Morocco","\N","\N","\N","\N","p","herbivore","graze","te","surficial","hyper_curs"
22624,"Artiodactyla","Giraffidae","indet.","indet.","\N","\N",11.2,9.9,31.033,-6.567,"Morocco","\N","\N","\N","\N","p","herbivore","\N","te","surficial","\N"
22624,"Proboscidea","Gomphotheriidae","indet.","indet.","\N","\N",11.2,9.9,31.033,-6.567,"Morocco","\N","\N","\N","\N","p","herbivore","\N","te","surficial","graviportal"
22624,"Perissodactyla","Equidae","Hipparion","indet.","\N","\N",11.2,9.9,31.033,-6.567,"Morocco","\N","\N","\N","\N","p","herbivore","graze","te","surficial","hyper_curs"
22626,"Perissodactyla","Equidae","Hipparion","indet.","\N","\N",7.1,5.3,31.033,-6.567,"Morocco","\N","\N","\N","\N","p","herbivore","graze","te","surficial","hyper_curs"
23443,"Perissodactyla","Equidae","Hipparion","indet.","\N","\N",11.2,7.1,38.614,26.562,"Turkey","\N","Izmir","Izmir Karaburun-Agaburnu 1","\N","p","herbivore","graze","te","surficial","hyper_curs"
23444,"Artiodactyla","Bovidae","Oioceros","indet.","\N","\N",9.9,7.6,38.596,26.561,"Turkey","\N","Izmir","Izmir Karaburun-Agaburnu 2","60000","p","herbivore","\N","te","surficial","\N"
24863,"Perissodactyla","Equidae","Hipparion","indet.","\N","\N",8.9,7.6,30.8689,49.6269,"Iran","Khuzestan","Aghajari","Parker locality?","\N","p","herbivore","graze","te","surficial","hyper_curs"
26846,"Artiodactyla","Giraffidae","Sivatherium","maurusium","\N","Sivatheriinae",3.56,2.6,31.1,-6.58333333333333,"Morocco","\N","\N","\N","2648827","p","herbivore","\N","te","\N","\N"
21624,"Carnivora","Felidae","Styriofelis","turnauensis","\N","\N",19.5,17.2,41.85,-1.933,"Spain","Province of Zaragoza","\N","Agreda","10000","a","carnivore","meat_only","te","scansorial","gen_quad"
21624,"Carnivora","Mustelidae","indet.","indet.","\N","\N",19.5,17.2,41.85,-1.933,"Spain","Province of Zaragoza","\N","Agreda","\N","a","carnivore","meat","te","surficial","gen_quad"
21624,"Artiodactyla","Suidae","Aureliachoerus","aurelianensis","\N","Hyotheriinae",19.5,17.2,41.85,-1.933,"Spain","Province of Zaragoza","\N","Agreda","19000","o","omnivore","plant_dom","te","surficial","gen_quad"
21624,"Artiodactyla","Palaeomerycidae","Palaeomeryx","indet.","\N","\N",19.5,17.2,41.85,-1.933,"Spain","Province of Zaragoza","\N","Agreda","\N","p","herbivore","\N","te","surficial","\N"
21624,"Artiodactyla","Andegamerycidae","Andegameryx","indet.","\N","\N",19.5,17.2,41.85,-1.933,"Spain","Province of Zaragoza","\N","Agreda","\N","p","herbivore","\N","te","\N","\N"
21624,"Perissodactyla","Equidae","Anchitherium","indet.","\N","Anchitheriinae",19.5,17.2,41.85,-1.933,"Spain","Province of Zaragoza","\N","Agreda","\N","p","herbivore","browse","te","surficial","cursorial"
28249,"Primates","Hominidae","Ouranopithecus","indet.","\N","\N",8.9,5.3,42.1995609,25.3251252,"Bulgaria","Stara Zagora","Chirpan district","\N","\N","\N","\N","\N","te","\N","\N"
23190,"Artiodactyla","Hippopotamidae","Hippopotamus","amphibius","\N","\N",2.5,1.9,35.419,4.136,"Algeria","\N","Sétif","\N","2500000","p","herbivore","graze","sa","\N","gen_quad"
23190,"Artiodactyla","Bovidae","Parmularius","altidens","\N","\N",2.5,1.9,35.419,4.136,"Algeria","\N","Sétif","\N","174410","p","herbivore","\N","te","\N","\N"
23190,"Perissodactyla","Equidae","Equus","numidicus","\N","\N",2.5,1.9,35.419,4.136,"Algeria","\N","Sétif","\N","363626","p","herbivore","\N","te","\N","\N"
23190,"Artiodactyla","Suidae","Kolpochoerus","heseloni","\N","Suinae",2.5,1.9,35.419,4.136,"Algeria","\N","Sétif","\N","296977","\N","\N","\N","te","\N","\N"
23190,"Perissodactyla","Rhinocerotidae","Ceratotherium","mauritanicum","\N","\N",2.5,1.9,35.419,4.136,"Algeria","\N","Sétif","\N","1953255","p","herbivore","\N","\N","\N","\N"
23190,"Carnivora","Canidae","Vulpes","vulpes","\N","\N",2.5,1.9,35.419,4.136,"Algeria","\N","Sétif","\N","\N","\N","\N","\N","te","\N","\N"
23190,"Proboscidea","Gomphotheriidae","Anancus","osiris","\N","\N",2.5,1.9,35.419,4.136,"Algeria","\N","Sétif","\N","\N","p","herbivore","\N","te","\N","\N"
23190,"Artiodactyla","Bovidae","Damaliscus","cuiculi","\N","\N",2.5,1.9,35.419,4.136,"Algeria","\N","Sétif","\N","\N","p","herbivore","\N","te","\N","\N"
23190,"Artiodactyla","Bovidae","Redunca","eulmensis","\N","\N",2.5,1.9,35.419,4.136,"Algeria","\N","Sétif","\N","\N","p","herbivore","\N","te","\N","\N"
23190,"Artiodactyla","Bovidae","Parantidorcas","latifrons","\N","\N",2.5,1.9,35.419,4.136,"Algeria","\N","Sétif","\N","\N","p","herbivore","\N","te","\N","\N"
23190,"Artiodactyla","Bovidae","Bos","palaethiopicus","\N","\N",2.5,1.9,35.419,4.136,"Algeria","\N","Sétif","\N","\N","p","herbivore","\N","te","\N","\N"
23190,"Artiodactyla","Bovidae","Gazella","setifensis","\N","\N",2.5,1.9,35.419,4.136,"Algeria","\N","Sétif","\N","\N","p","herbivore","\N","te","\N","\N"
23190,"Artiodactyla","Bovidae","Oreonagor","tournoueri","\N","\N",2.5,1.9,35.419,4.136,"Algeria","\N","Sétif","\N","\N","p","herbivore","\N","te","\N","\N"
23190,"Carnivora","Canidae","Canis","anthus","\N","\N",2.5,1.9,35.419,4.136,"Algeria","\N","Sétif","\N","\N","\N","\N","\N","te","\N","\N"
23190,"Proboscidea","Elephantidae","Mammuthus","africanus","\N","\N",2.5,1.9,35.419,4.136,"Algeria","\N","Sétif","\N","\N","p","herbivore","\N","te","\N","\N"
23190,"Artiodactyla","Giraffidae","Libytherium","maurusium","\N","\N",2.5,1.9,35.419,4.136,"Algeria","\N","Sétif","\N","\N","p","herbivore","\N","te","\N","\N"
23190,"Perissodactyla","Equidae","Eurygnathohippus","libycum","\N","\N",2.5,1.9,35.419,4.136,"Algeria","\N","Sétif","\N","\N","p","herbivore","\N","te","\N","\N"
23190,"Artiodactyla","Bovidae","Connochaetes","tournoueri","\N","\N",2.5,1.9,35.419,4.136,"Algeria","\N","Sétif","\N","\N","\N","\N","\N","\N","\N","\N"
23893,"Carnivora","indet.","indet.","indet.","\N","\N",3.55,2.5,33,9,"Tunisia","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N"
23893,"Carnivora","Hyaenidae","Crocuta","crocuta","\N","\N",3.55,2.5,33,9,"Tunisia","\N","\N","\N","62500","a","carnivore","m/bone","te","\N","\N"
23893,"Artiodactyla","Giraffidae","Sivatherium","maurusium","\N","Sivatheriinae",3.55,2.5,33,9,"Tunisia","\N","\N","\N","2648827","p","herbivore","\N","te","\N","\N"
23893,"Carnivora","Hyaenidae","Hyaena","hyaena","\N","\N",3.55,2.5,33,9,"Tunisia","\N","\N","\N","35000","\N","\N","\N","te","\N","\N"
23893,"Perissodactyla","Rhinocerotidae","Ceratotherium","mauritanicum","\N","\N",3.55,2.5,33,9,"Tunisia","\N","\N","\N","1953255","p","herbivore","\N","\N","\N","\N"
23893,"Artiodactyla","Giraffidae","Giraffa","pomeli","\N","\N",3.55,2.5,33,9,"Tunisia","\N","\N","\N","\N","p","herbivore","\N","te","\N","\N"
23893,"Artiodactyla","Bovidae","Parantidorcas","latifrons","\N","\N",3.55,2.5,33,9,"Tunisia","\N","\N","\N","\N","p","herbivore","\N","te","\N","\N"
23893,"Artiodactyla","Bovidae","Gazella","setifensis","\N","\N",3.55,2.5,33,9,"Tunisia","\N","\N","\N","\N","p","herbivore","\N","te","\N","\N"
23893,"Proboscidea","Elephantidae","Mammuthus","africanus","\N","\N",3.55,2.5,33,9,"Tunisia","\N","\N","\N","\N","p","herbivore","\N","te","\N","\N"
23893,"Artiodactyla","Bovidae","Capra","primaeva","\N","\N",3.55,2.5,33,9,"Tunisia","\N","\N","\N","\N","p","herbivore","\N","te","\N","\N"
23893,"Primates","Cercopithecidae","Anomalopithecus","bicuspidatus","\N","\N",3.55,2.5,33,9,"Tunisia","\N","\N","\N","\N","\N","\N","\N","te","\N","\N"
23893,"Carnivora","Felidae","Homotherium","africanum","\N","\N",3.55,2.5,33,9,"Tunisia","\N","\N","\N","\N","a","carnivore","\N","te","\N","\N"
23893,"Perissodactyla","Equidae","Eurygnathohippus","libycum","\N","\N",3.55,2.5,33,9,"Tunisia","\N","\N","\N","\N","p","herbivore","\N","te","\N","\N"
26834,"Perissodactyla","Equidae","Equus","numidicus","\N","\N",3.56,2.6,35.3333333333333,4.08333333333333,"Algeria","\N","\N","\N","363626","p","herbivore","\N","te","\N","\N"
26834,"Artiodactyla","Suidae","Kolpochoerus","phacochoeroides","\N","Suinae",3.56,2.6,35.3333333333333,4.08333333333333,"Algeria","\N","\N","\N","\N","\N","\N","\N","te","\N","\N"
20458,"Perissodactyla","Equidae","Equus","numidicus","\N","\N",3.56,2.6,36.35,6.6,"Algeria","\N","Ain-El-Bey","\N","363626","p","herbivore","\N","te","\N","\N"
21188,"Proboscidea","Elephantidae","Mammuthus","meridionalis","\N","\N",2.07,2.59,52.2,59.35,"Russia","The Urals","\N","\N","9843577","p","herbivore","graze","te","surficial","graviportal"
21188,"Proboscidea","Mammutidae","Mammut","borsoni","\N","\N",2.07,2.59,52.2,59.35,"Russia","The Urals","\N","\N","8543657","p","herbivore","browse","te","surficial","graviportal"
21188,"Proboscidea","Mammutidae","Zygolophodon","tapiroides","\N","\N",2.07,2.59,52.2,59.35,"Russia","The Urals","\N","\N","\N","p","herbivore","\N","te","surficial","graviportal"
20823,"Perissodactyla","Rhinocerotidae","Dihoplus","pikermiensis","\N","\N",4.8625,3.9875,42.95,80.05,"Kazakhstan","\N","Tekess depression","\N","1479002","p","herbivore","browse","te","surficial","gen_quad"
20823,"Perissodactyla","Equidae","Hipparion","houfenense","\N","\N",4.8625,3.9875,42.95,80.05,"Kazakhstan","\N","Tekess depression","\N","249000","p","herbivore","graze","te","surficial","cursorial"
20823,"Perissodactyla","Equidae","Hipparion","hippidiodus","\N","\N",4.8625,3.9875,42.95,80.05,"Kazakhstan","\N","Tekess depression","\N","195434","p","herbivore","graze","te","surficial","cursorial"
20823,"Proboscidea","Gomphotheriidae","Anancus","kazachstanensis","\N","\N",4.8625,3.9875,42.95,80.05,"Kazakhstan","\N","Tekess depression","\N","\N","p","herbivore","\N","te","surficial","graviportal"
23447,"Artiodactyla","Suidae","Hippopotamodon","major","\N","Suinae",9.9,7.6,38.567,26.569,"Turkey","\N","Izmir","Izmir Karaburun-Kaynarpinar-Ak","330000","o","omnivore","plant_dom","te","surficial","gen_quad"
23449,"Perissodactyla","Rhinocerotidae","Hoploaceratherium","tetradactylum","\N","\N",17.2,16.4,38.058,27.626,"Turkey","\N","Izmir","Izmir Tire-Akcahisar 1","972338","p","herbivore","browse","te","surficial","gen_quad"
23449,"Proboscidea","Gomphotheriidae","Gomphotherium","angustidens","\N","\N",17.2,16.4,38.058,27.626,"Turkey","\N","Izmir","Izmir Tire-Akcahisar 1","3629130","p","herbivore","br/gr","te","surficial","graviportal"
23449,"Proboscidea","Mammutidae","Zygolophodon","turicensis","\N","\N",17.2,16.4,38.058,27.626,"Turkey","\N","Izmir","Izmir Tire-Akcahisar 1","5973000","p","herbivore","browse","te","surficial","graviportal"
23449,"Artiodactyla","indet.","indet.","indet.","\N","\N",17.2,16.4,38.058,27.626,"Turkey","\N","Izmir","Izmir Tire-Akcahisar 1","\N","p","herbivore","\N","te","surficial","cursorial"
23449,"Proboscidea","Deinotheriidae","Prodeinotherium","bavaricum","\N","\N",17.2,16.4,38.058,27.626,"Turkey","\N","Izmir","Izmir Tire-Akcahisar 1","4400000","p","herbivore","\N","te","surficial","graviportal"
23449,"Perissodactyla","Equidae","Anchitherium","indet.","\N","Anchitheriinae",17.2,16.4,38.058,27.626,"Turkey","\N","Izmir","Izmir Tire-Akcahisar 1","\N","p","herbivore","browse","te","surficial","cursorial"
23649,"Carnivora","Hyaenidae","Protictitherium","crassum","\N","\N",11.2,7.1,38.571,29.109,"Turkey","\N","Usak","Alkcakoy (1-6): Akcakoy (1-6)","12658","a","invert","mixed","te","scansorial","gen_quad"
23649,"Carnivora","Felidae","indet.","indet.","\N","Machairodontinae",11.2,7.1,38.571,29.109,"Turkey","\N","Usak","Alkcakoy (1-6): Akcakoy (1-6)","\N","a","carnivore","meat","te","\N","\N"
23649,"Artiodactyla","Suidae","Listriodon","splendens","\N","Listriodontinae",11.2,7.1,38.571,29.109,"Turkey","\N","Usak","Alkcakoy (1-6): Akcakoy (1-6)","165200","p","herbivore","browse","te","surficial","gen_quad"
23649,"Perissodactyla","Rhinocerotidae","Subchilotherium","intermedium","\N","\N",11.2,7.1,38.571,29.109,"Turkey","\N","Usak","Alkcakoy (1-6): Akcakoy (1-6)","1171214","p","herbivore","browse","te","surficial","gen_quad"
23649,"Perissodactyla","Chalicotheriidae","Chalicotherium","goldfussi","\N","\N",11.2,7.1,38.571,29.109,"Turkey","\N","Usak","Alkcakoy (1-6): Akcakoy (1-6)","1060516","p","herbivore","browse","te","surficial","k_walk"
23649,"Perissodactyla","Rhinocerotidae","Acerorhinus","zernowi","\N","\N",11.2,7.1,38.571,29.109,"Turkey","\N","Usak","Alkcakoy (1-6): Akcakoy (1-6)","1209267","p","herbivore","browse","te","surficial","gen_quad"
23649,"Proboscidea","Gomphotheriidae","Choerolophodon","pentelici","\N","\N",11.2,7.1,38.571,29.109,"Turkey","\N","Usak","Alkcakoy (1-6): Akcakoy (1-6)","2974174","p","herbivore","br/gr","te","surficial","graviportal"
23649,"Artiodactyla","Giraffidae","Samotherium","indet.","\N","\N",11.2,7.1,38.571,29.109,"Turkey","\N","Usak","Alkcakoy (1-6): Akcakoy (1-6)","\N","p","herbivore","br/gr","te","surficial","\N"
23649,"Artiodactyla","Bovidae","indet.","indet.","\N","Gazellinae",11.2,7.1,38.571,29.109,"Turkey","\N","Usak","Alkcakoy (1-6): Akcakoy (1-6)","\N","p","herbivore","\N","te","surficial","\N"
23649,"Artiodactyla","Giraffidae","Palaeotragus","decipiens","\N","\N",11.2,7.1,38.571,29.109,"Turkey","\N","Usak","Alkcakoy (1-6): Akcakoy (1-6)","962811","p","herbivore","\N","te","surficial","\N"
23649,"Artiodactyla","Bovidae","Palaeoryx","indet.","\N","\N",11.2,7.1,38.571,29.109,"Turkey","\N","Usak","Alkcakoy (1-6): Akcakoy (1-6)","\N","p","herbivore","\N","te","\N","\N"
23649,"Perissodactyla","Equidae","Hipparion","indet.","\N","\N",11.2,7.1,38.571,29.109,"Turkey","\N","Usak","Alkcakoy (1-6): Akcakoy (1-6)","\N","p","herbivore","graze","te","surficial","hyper_curs"
23649,"Carnivora","Percrocutidae","Percrocuta","senyureki","\N","\N",11.2,7.1,38.571,29.109,"Turkey","\N","Usak","Alkcakoy (1-6): Akcakoy (1-6)","\N","\N","\N","\N","\N","\N","\N"
23649,"Artiodactyla","Suidae","Conohyus","giganteus","\N","Tetraconodontinae",11.2,7.1,38.571,29.109,"Turkey","\N","Usak","Alkcakoy (1-6): Akcakoy (1-6)","221886","\N","omnivore","\N","te","\N","\N"
23649,"Artiodactyla","Suidae","Dicoryphochoerus","indet.","\N","\N",11.2,7.1,38.571,29.109,"Turkey","\N","Usak","Alkcakoy (1-6): Akcakoy (1-6)","\N","\N","\N","\N","te","\N","\N"
23649,"Perissodactyla","Rhinocerotidae","Pliodiceros","neumayri","\N","\N",11.2,7.1,38.571,29.109,"Turkey","\N","Usak","Alkcakoy (1-6): Akcakoy (1-6)","1832296","p","herbivore","graze","te","surficial","gen_quad"
23649,"Perissodactyla","Equidae","Anchitherium","indet.","\N","Anchitheriinae",11.2,7.1,38.571,29.109,"Turkey","\N","Usak","Alkcakoy (1-6): Akcakoy (1-6)","\N","p","herbivore","browse","te","surficial","cursorial"
23435,"Artiodactyla","Bovidae","indet.","indet.","\N","\N",11.467,5.3,39.745,30.406,"Turkey","\N","Eskisehir","Eskisehir Akcayir (1:2:3)","\N","p","herbivore","\N","te","surficial","\N"
23435,"Proboscidea","Gomphotheriidae","Anancus","arvernensis","\N","\N",11.467,5.3,39.745,30.406,"Turkey","\N","Eskisehir","Eskisehir Akcayir (1:2:3)","3827422","p","herbivore","br/gr","te","surficial","graviportal"
23435,"Perissodactyla","Equidae","Hipparion","indet.","\N","\N",11.467,5.3,39.745,30.406,"Turkey","\N","Eskisehir","Eskisehir Akcayir (1:2:3)","\N","p","herbivore","graze","te","surficial","hyper_curs"
26464,"Perissodactyla","Rhinocerotidae","Chilotherium","indet.","\N","\N",9,5.3,39.3333333333333,94.3333333333333,"China","Gansu","Aksay","\N","\N","p","herbivore","\N","te","surficial","gen_quad"
26464,"Artiodactyla","Bovidae","Gazella","indet.","\N","\N",9,5.3,39.3333333333333,94.3333333333333,"China","Gansu","Aksay","\N","\N","p","herbivore","graze","te","surficial","\N"
26464,"Artiodactyla","Cervidae","indet.","indet.","\N","\N",9,5.3,39.3333333333333,94.3333333333333,"China","Gansu","Aksay","\N","\N","p","herbivore","\N","te","surficial","\N"
26464,"Artiodactyla","Giraffidae","Palaeotragus","indet.","\N","\N",9,5.3,39.3333333333333,94.3333333333333,"China","Gansu","Aksay","\N","\N","p","herbivore","browse","te","surficial","\N"
26464,"Carnivora","indet.","indet.","indet.","\N","\N",9,5.3,39.3333333333333,94.3333333333333,"China","Gansu","Aksay","\N","\N","\N","\N","\N","\N","\N","\N"
26464,"Perissodactyla","Equidae","Hipparion","indet.","\N","\N",9,5.3,39.3333333333333,94.3333333333333,"China","Gansu","Aksay","\N","\N","p","herbivore","graze","te","surficial","hyper_curs"
22919,"Perissodactyla","Equidae","Cremohipparion","matthewi","\N","\N",7.6,7.1,37.25,28.25,"Turkey","\N","\N","Mugla","102438","p","herbivore","graze","te","surficial","cursorial"
22919,"Perissodactyla","Equidae","Cremohipparion","mediterraneum","\N","\N",7.6,7.1,37.25,28.25,"Turkey","\N","\N","Mugla","187000","p","herbivore","br/gr","te","surficial","cursorial"
22919,"Artiodactyla","Bovidae","Tragoportax","indet.","\N","\N",7.6,7.1,37.25,28.25,"Turkey","\N","\N","Mugla","\N","p","herbivore","br/gr","te","surficial","\N"
